TRAP,Type,LU_Around,Height_Mx,Dist_BG,Dist_Town,Robbed,Dist_Town_KM,Dist_GB_KM,Condition
9305,Burial Mound,Scrub,1.8,68354.38881954226,635.3571607304673,No,0.6353571607304673,68.35438881954227,3
9411,Burial Mound,Scrub,1.5,61029.49843447979,1806.657894218202,No,1.806657894218202,61.02949843447979,2
9416,Burial Mound,Agriculture,2,62182.77749858609,1303.8511686585357,No,1.3038511686585357,62.18277749858609,3
9417,Burial Mound,Pasture,2,62264.90820534068,1276.7345071285088,Yes,1.2767345071285088,62.26490820534068,4
9409,Burial Mound,Agriculture,2,61452.65699663408,1486.6414629941642,No,1.4866414629941642,61.45265699663408,2
9314,Burial Mound,Pasture,2,60782.52303598331,1502.025435979556,Yes,1.502025435979556,60.78252303598331,5
9315,Burial Mound,Pasture,1,60717.61406127223,1564.9237556347175,Yes,1.5649237556347175,60.71761406127223,2
9415,Burial Mound,Agriculture,1,60184.94264000621,745.2858215269835,No,0.7452858215269834,60.184942640006206,5
9418,Burial Mound,Pasture,6,62447.80368306195,309.6090487217359,Yes,0.3096090487217359,62.447803683061956,2
9319,Burial Mound,Agriculture,1,62718.161431708475,255.70125255598947,No,0.25570125255598947,62.718161431708474,3
9109,Burial Mound,Agriculture,1.5,64139.230779749574,582.1659586626143,No,0.5821659586626143,64.13923077974957,3
9307,Burial Mound,Agriculture,3.1,65645.73174951758,1536.292274979994,No,1.536292274979994,65.64573174951758,1
9431,Burial Mound,Pasture,2,64932.45335341282,1006.1010055100946,Yes,1.0061010055100947,64.93245335341282,5
9320,Extinct Burial Mound,Agriculture,0.5,66200.99803065496,1270.5802739065593,No,1.2705802739065593,66.20099803065496,4
9310,Burial Mound,Agriculture,5,70762.42197452374,1064.5770251072274,No,1.0645770251072275,70.76242197452373,3
9309,Burial Mound,Agriculture,5,70720.0932401679,1159.903986477078,No,1.159903986477078,70.7200932401679,2
9308,Burial Mound,Agriculture,4.5,70830.91132628317,1390.4557503000892,No,1.3904557503000892,70.83091132628317,1
9313,Extinct Burial Mound,Agriculture,0.5,71784.22452459148,760.2506227137409,No,0.7602506227137409,71.78422452459148,5
9312,Burial Mound,Agriculture,4,71953.61478984087,1246.46771334601,No,1.24646771334601,71.95361478984087,3
9311,Burial Mound,Scrub,3,71915.44672320886,1751.5231347952026,No,1.7515231347952027,71.91544672320886,4
9440,Burial Mound,Agriculture,5,70418.05210045655,436.92522943655644,No,0.43692522943655643,70.41805210045655,1
9434,Burial Mound,Agriculture,1.5,65535.703544011034,1898.245331569846,No,1.898245331569846,65.53570354401103,5
9432,Burial Mound,Agriculture,2.5,65155.54523597718,1640.231366223698,No,1.640231366223698,65.15554523597719,1
9435,Extinct Burial Mound,Agriculture,1,65410.95699437071,2280.3846954643836,No,2.2803846954643836,65.41095699437071,5
9437,Burial Mound,Agriculture,1.7,65701.55902688894,2411.194616794862,No,2.4111946167948624,65.70155902688893,2
9438,Extinct Burial Mound,Agriculture,0.1,65273.341740072916,2125.92005469919,No,2.1259200546991903,65.27334174007292,5
9436,Burial Mound,Agriculture,4,65376.12718710185,2257.692586970072,No,2.257692586970072,65.37612718710184,3
9430,Burial Mound,Pasture,NA,64845.70347307071,966.9691144379135,Yes,0.9669691144379136,64.84570347307071,5
9427,Extinct Burial Mound,Agriculture,NA,63600.1492927837,447.50474092193247,No,0.4475047409219325,63.600149292783705,5
9428,Extinct Burial Mound,Agriculture,NA,63549.11184545075,449.0629323267991,No,0.4490629323267991,63.54911184545075,5
9325,Extinct Burial Mound,Pasture,0.5,63230.76884999773,339.1857836308254,Yes,0.3391857836308254,63.23076884999773,5
9326,Burial Mound,Pasture,3,63175.950291214096,636.8854321161476,Yes,0.6368854321161477,63.17595029121409,1
9426,Extinct Burial Mound,Agriculture,0.7,61971.993981223495,56.99445163780222,No,0.05699445163780222,61.9719939812235,5
9424,Burial Mound,Agriculture,NA,61846.530644834456,64.37958175641577,No,0.06437958175641577,61.84653064483446,5
9425,Extinct Burial Mound,Agriculture,0.5,61838.00100340653,128.76629497643378,No,0.12876629497643377,61.838001003406525,5
9323,Extinct Burial Mound,Agriculture,0.4,61606.03964374147,66.56649387677194,No,0.06656649387677194,61.60603964374147,5
9419,Burial Mound,Agriculture,4.5,61932.217219755876,828.4068850328529,No,0.8284068850328529,61.93221721975588,2
9423,Burial Mound,Agriculture,12,61456.81969142441,306.72732004800474,No,0.30672732004800474,61.456819691424414,1
9324,Burial Mound,Agriculture,1.8,61146.63141753061,773.1072766133793,No,0.7731072766133793,61.146631417530614,3
9304,Extinct Burial Mound,Pasture,1.5,63894.50968631201,594.177120208737,No,0.594177120208737,63.89450968631201,2
9090,Burial Mound,Pasture,0.5,63273.35089509267,120.18238475224824,No,0.12018238475224824,63.27335089509267,3
9097,Extinct Burial Mound,Agriculture,2,61575.34146852349,1287.2303761272906,No,1.2872303761272905,61.57534146852349,5
9096,Burial Mound,Agriculture,1.5,61399.35086094968,1085.291933794434,No,1.085291933794434,61.39935086094968,3
9093,Burial Mound,Pasture,1.5,62503.011646969346,378.02924704004766,No,0.37802924704004764,62.50301164696935,4
9303,Extinct Burial Mound,Agriculture,1,63260.687830011695,1137.3254806209663,No,1.1373254806209663,63.2606878300117,4
9302,Burial Mound,Agriculture,0.5,62656.692783632934,1735.0072666342278,No,1.7350072666342278,62.656692783632934,5
9400,Burial Mound,Agriculture,1.8,59058.747040967086,1830.9637182131873,No,1.8309637182131873,59.058747040967084,2
